Наименование товара,Токенизированное наименование,Единица измерения,Цена в чеке,Кол-во единиц,Дата,Регион,kkt,ОКАТО,Товар представитель,Объем,Требуемая упаковка,Цена за требуемую упаковку,Факт упаковка
БАНАНЫ (цена за 1кг),бананы цена за 1 кг,кг,78.4,1.235,2019-01-27,"Кабардино-Балкарская Республика, г Нальчик",3cd21aff027e70a333ae0cbccf810ed8,83401000000,Бананы,1.24,1,78.4,1.0
БАНАНЫ (цена за 1кг),бананы цена за 1 кг,кг,78.4,1.805,2019-01-27,"Кабардино-Балкарская Республика, г Нальчик",3cd21aff027e70a333ae0cbccf810ed8,83401000000,Бананы,1.8,1,78.4,1.0
БАНАНЫ (цена за 1кг),бананы цена за 1 кг,кг,78.4,1.1,2019-01-27,"Кабардино-Балкарская Республика, г Нальчик",3cd21aff027e70a333ae0cbccf810ed8,83401000000,Бананы,1.1,1,78.4,1.0
БАНАНЫ (цена за 1кг),бананы цена за 1 кг,кг,67.94,1.175,2019-01-27,"Кабардино-Балкарская Республика, г Нальчик",3cd21aff027e70a333ae0cbccf810ed8,83401000000,Бананы,1.18,1,67.94,1.0
БАНАНЫ (цена за 1кг),бананы цена за 1 кг,кг,67.87,1.49,2019-01-27,"Кабардино-Балкарская Республика, г Нальчик",3cd21aff027e70a333ae0cbccf810ed8,83401000000,Бананы,1.49,1,67.87,1.0
БАНАНЫ (цена за 1кг),бананы цена за 1 кг,кг,78.4,1.32,2019-01-27,"Кабардино-Балкарская Республика, г Нальчик",3cd21aff027e70a333ae0cbccf810ed8,83401000000,Бананы,1.32,1,78.4,1.0
БАНАНЫ (цена за 1кг),бананы цена за 1 кг,кг,68.9,0.496,2019-01-27,"Пермский край, г Березники",e4f4c3023833188fc15882e1b19d9329,57408000000,Бананы,0.5,1,68.9,1.0
БАНАНЫ (цена за 1кг),бананы цена за 1 кг,кг,68.9,0.662,2019-01-27,"Пермский край, г Березники",e4f4c3023833188fc15882e1b19d9329,57408000000,Бананы,0.66,1,68.9,1.0
БАНАНЫ (цена за 1кг),бананы цена за 1 кг,кг,68.9,0.136,2019-01-27,"Пермский край, г Березники",e4f4c3023833188fc15882e1b19d9329,57408000000,Бананы,0.14,1,68.9,1.0
БАНАНЫ (цена за 1кг),бананы цена за 1 кг,кг,59.9,1.096,2019-01-27,"Вологодская область, г Череповец",eb7db9288e3868455ac32c27131f3860,19430000000,Бананы,1.1,1,59.9,1.0
БАНАНЫ (цена за 1кг),бананы цена за 1 кг,кг,59.9,0.822,2019-01-27,"Вологодская область, г Череповец",eb7db9288e3868455ac32c27131f3860,19430000000,Бананы,0.82,1,59.9,1.0
БАНАНЫ (цена за 1кг),бананы цена за 1 кг,кг,59.9,1.426,2019-01-27,"Республика Карелия, Петрозаводск г",b483c516be943713e7dd91b8a47ccdbe,86401000000,Бананы,1.43,1,59.9,1.0
БАНАНЫ (цена за 1кг),бананы цена за 1 кг,кг,66.9,1.236,2019-01-27,"Воронежская область, р-н Новохоперский, рп Елань-Коленовский",06dd643dee4655148681c30c99566405,20227560000,Бананы,1.24,1,66.9,1.0
БАНАНЫ (цена за 1кг),бананы цена за 1 кг,кг,60.28,0.352,2019-01-27,"Ульяновская область, г Ульяновск",644424435972901d725b3b7f40691942,73401000000,Бананы,0.35,1,60.28,1.0
БАНАНЫ (цена за 1кг),бананы цена за 1 кг,кг,63.9,1.374,2019-01-27,"Ульяновская область, г Ульяновск",644424435972901d725b3b7f40691942,73401000000,Бананы,1.37,1,63.9,1.0
БАНАНЫ (цена за 1кг),бананы цена за 1 кг,кг,63.9,0.73,2019-01-27,"Ульяновская область, г Ульяновск",644424435972901d725b3b7f40691942,73401000000,Бананы,0.73,1,63.9,1.0
БАНАНЫ (цена за 1кг),бананы цена за 1 кг,кг,63.9,1.032,2019-01-27,"Ульяновская область, г Ульяновск",644424435972901d725b3b7f40691942,73401000000,Бананы,1.03,1,63.9,1.0
